group,country,value,index
1998-2002,Hungary,-0.8612016177632695,1998-2002-Hungary
1998-2002,Brazil,-0.2728414256187306,1998-2002-Brazil
1998-2002,Romania,1.3037822198468128,1998-2002-Romania
1998-2002,Colombia,0.7166580738843378,1998-2002-Colombia
1998-2002,South Africa,0.08994720642984744,1998-2002-South Africa
1998-2002,Thailand,-0.2840366778951865,1998-2002-Thailand
1998-2002,India,-0.40990252770169167,1998-2002-India
1998-2002,Taiwan,91.19226536432576,1998-2002-Taiwan
2003-2007,Monaco,,2003-2007-Monaco
2003-2007,Liechtenstein,4.167313239828907,2003-2007-Liechtenstein
2003-2007,Luxembourg,-1.0,2003-2007-Luxembourg
2003-2007,Norway,,2003-2007-Norway
2003-2007,Switzerland,-0.44249613940098753,2003-2007-Switzerland
2003-2007,Qatar,-0.3489343793162858,2003-2007-Qatar
2003-2007,Australia,-1.0,2003-2007-Australia
2003-2007,Denmark,,2003-2007-Denmark
2003-2007,Sweden,,2003-2007-Sweden
2003-2007,United States,21242.709959349595,2003-2007-United States
2003-2007,Canada,-1.0,2003-2007-Canada
2003-2007,Netherlands,,2003-2007-Netherlands
2003-2007,Ireland,-1.0,2003-2007-Ireland
2003-2007,Austria,-0.999693577569217,2003-2007-Austria
2003-2007,Finland,NA,2003-2007-Finland
2003-2007,Iceland,,2003-2007-Iceland
2003-2007,Kuwait,-0.6975139185578386,2003-2007-Kuwait
2003-2007,Belgium,,2003-2007-Belgium
2003-2007,Germany,NA,2003-2007-Germany
2003-2007,New Zealand,,2003-2007-New Zealand
2003-2007,United Kingdom,,2003-2007-United Kingdom
2003-2007,France,,2003-2007-France
2003-2007,United Arab Emirates,0.029999613124458646,2003-2007-United Arab Emirates
2003-2007,Japan,-1.0,2003-2007-Japan
2003-2007,Italy,-0.6148710068392347,2003-2007-Italy
2003-2007,Spain,,2003-2007-Spain
2003-2007,Cyprus,-0.5431382844975147,2003-2007-Cyprus
2003-2007,Korea,-0.9663862165125063,2003-2007-Korea
2003-2007,Saudi Arabia,-0.9822018588561082,2003-2007-Saudi Arabia
2003-2007,Slovenia,-0.74968743865905,2003-2007-Slovenia
2003-2007,Greece,,2003-2007-Greece
2003-2007,Portugal,,2003-2007-Portugal
2003-2007,Czech Republic,-0.8169821384836758,2003-2007-Czech Republic
2003-2007,Estonia,-0.548209664549415,2003-2007-Estonia
2003-2007,Slovak Republic,-0.719744050800214,2003-2007-Slovak Republic
2003-2007,Chile,-0.6480190135226475,2003-2007-Chile
2003-2007,Lithuania,-0.5652518857909438,2003-2007-Lithuania
2003-2007,Latvia,-0.7318423986453245,2003-2007-Latvia
2003-2007,Poland,-0.6311769330048036,2003-2007-Poland
2003-2007,Hungary,-0.3910983901781959,2003-2007-Hungary
2003-2007,Brazil,-0.5827397208063045,2003-2007-Brazil
2003-2007,Romania,-0.7635574830929452,2003-2007-Romania
2003-2007,Colombia,0.19610259587511658,2003-2007-Colombia
2003-2007,South Africa,0.09468836285343674,2003-2007-South Africa
2003-2007,Thailand,-0.7446102759947975,2003-2007-Thailand
2003-2007,India,0.8234234348513676,2003-2007-India
2003-2007,Taiwan,-0.9789561615060446,2003-2007-Taiwan
2008-2012,Monaco,,2008-2012-Monaco
2008-2012,Liechtenstein,0.2842512560879358,2008-2012-Liechtenstein
2008-2012,Luxembourg,,2008-2012-Luxembourg
2008-2012,Norway,,2008-2012-Norway
2008-2012,Switzerland,-1.0,2008-2012-Switzerland
2008-2012,Qatar,-1.0,2008-2012-Qatar
2008-2012,Australia,,2008-2012-Australia
2008-2012,Denmark,,2008-2012-Denmark
2008-2012,Sweden,,2008-2012-Sweden
2008-2012,United States,-0.999990250581394,2008-2012-United States
2008-2012,Canada,NA,2008-2012-Canada
2008-2012,Netherlands,,2008-2012-Netherlands
2008-2012,Ireland,,2008-2012-Ireland
2008-2012,Austria,-1.0,2008-2012-Austria
2008-2012,Finland,-1.0,2008-2012-Finland
2008-2012,Iceland,,2008-2012-Iceland
2008-2012,Kuwait,-1.0,2008-2012-Kuwait
2008-2012,Belgium,,2008-2012-Belgium
2008-2012,Germany,-1.0,2008-2012-Germany
2008-2012,New Zealand,,2008-2012-New Zealand
2008-2012,United Kingdom,,2008-2012-United Kingdom
2008-2012,France,NA,2008-2012-France
2008-2012,United Arab Emirates,-1.0,2008-2012-United Arab Emirates
2008-2012,Japan,NA,2008-2012-Japan
2008-2012,Italy,-1.0,2008-2012-Italy
2008-2012,Spain,,2008-2012-Spain
2008-2012,Cyprus,-1.0,2008-2012-Cyprus
2008-2012,Korea,-1.0,2008-2012-Korea
2008-2012,Saudi Arabia,-0.9785927516420333,2008-2012-Saudi Arabia
2008-2012,Slovenia,-0.9944127040942757,2008-2012-Slovenia
2008-2012,Greece,,2008-2012-Greece
2008-2012,Portugal,NA,2008-2012-Portugal
2008-2012,Czech Republic,-1.0,2008-2012-Czech Republic
2008-2012,Estonia,-1.0,2008-2012-Estonia
2008-2012,Slovak Republic,-1.0,2008-2012-Slovak Republic
2008-2012,Chile,0.6604001476646042,2008-2012-Chile
2008-2012,Lithuania,-1.0,2008-2012-Lithuania
2008-2012,Latvia,-1.0,2008-2012-Latvia
2008-2012,Poland,-1.0,2008-2012-Poland
2008-2012,Hungary,-0.9998846165147978,2008-2012-Hungary
2008-2012,Brazil,0.9279135403016545,2008-2012-Brazil
2008-2012,Romania,-0.9999696644758158,2008-2012-Romania
2008-2012,Colombia,-0.02839522243555659,2008-2012-Colombia
2008-2012,South Africa,0.3249652383951398,2008-2012-South Africa
2008-2012,Thailand,0.23474599877117708,2008-2012-Thailand
2008-2012,India,0.15398076440160535,2008-2012-India
2008-2012,Taiwan,-0.9995695317337587,2008-2012-Taiwan
