country,category,group,value,gdp
Kuwait,perc,1998-2002,0.16666314319320458,16495.2755841288
Kuwait,perc,2003-2007,0.0,34663.1786000122
Kuwait,perc,2008-2013,0.0,46932.976497416
Latvia,perc,1973-1977,0.0,
Latvia,perc,1978-1982,0.0,
Latvia,perc,1983-1987,0.0,
Latvia,perc,1988-1992,0.0,
Latvia,perc,1993-1997,0.0,2480.3927972733695
Latvia,perc,1998-2002,0.0,3437.2720414256764
Latvia,perc,2003-2007,0.0,8551.343882989195
Latvia,perc,2008-2013,0.0,13741.983591334632
Liechtenstein,perc,1973-1977,0.0,10021.464635123395
Liechtenstein,perc,1978-1982,0.20215911267169911,19419.131397276262
Liechtenstein,perc,1983-1987,0.2,24728.50380986736
Liechtenstein,perc,1988-1992,0.4,47227.87767404362
Liechtenstein,perc,1993-1997,0.8,70114.82467970478
Liechtenstein,perc,1998-2002,0.7872460274667766,77304.75914314357
Liechtenstein,perc,2003-2007,0.9809844022827356,108115.72219982513
Liechtenstein,perc,2008-2013,0.11240304402712165,148460.66605958316
Lithuania,perc,1973-1977,0.0,
Lithuania,perc,1978-1982,0.0,
Lithuania,perc,1983-1987,0.0,
Lithuania,perc,1988-1992,0.0,
Lithuania,perc,1993-1997,0.0,2442.56248007477
Lithuania,perc,1998-2002,0.0,3450.98640841933
Lithuania,perc,2003-2007,0.0,8322.844514387209
Lithuania,perc,2008-2013,0.0,13862.755226351634
