FATALITY_DATE,DEPLOYMENT_PROVINCE_1,count
1968-06-01,Binh Dinh,26
1968-06-01,Quang Ngai,36
1968-06-01,Kon Tum,45
1968-06-01,Binh Duong,67
1968-06-01,Thua Thien - Hue,110
1968-06-01,Quang Nam,262
1968-06-01,Quang Tri,331
1968-06-01,Other provinces,373
1968-07-01,Kon Tum,16
1968-07-01,Tay Ninh,22
1968-07-01,Quang Ngai,40
1968-07-01,Binh Dinh,43
1968-07-01,Binh Duong,60
1968-07-01,Thua Thien - Hue,136
1968-07-01,Quang Tri,198
1968-07-01,Quang Nam,234
1968-07-01,Other provinces,240
1968-08-01,Kon Tum,19
1968-08-01,Binh Dinh,32
1968-08-01,Binh Duong,39
1968-08-01,Quang Ngai,47
1968-08-01,Tay Ninh,117
1968-08-01,Thua Thien - Hue,130
1968-08-01,Quang Tri,172
1968-08-01,Quang Nam,274
1968-08-01,Other provinces,340
1968-09-01,Kon Tum,24
1968-09-01,Binh Duong,38
1968-09-01,Binh Dinh,39
1968-09-01,Thua Thien - Hue,50
1968-09-01,Tay Ninh,63
1968-09-01,Quang Ngai,88
1968-09-01,Quang Tri,220
1968-09-01,Quang Nam,258
1968-09-01,Other provinces,423
1968-10-01,Kon Tum,7
1968-10-01,Binh Dinh,15
1968-10-01,Quang Ngai,38
1968-10-01,Tay Ninh,45
1968-10-01,Thua Thien - Hue,62
1968-10-01,Binh Duong,63
1968-10-01,Quang Tri,94
1968-10-01,Quang Nam,180
1968-10-01,Other provinces,283
1968-11-01,Kon Tum,16
1968-11-01,Quang Ngai,30
1968-11-01,Thua Thien - Hue,33
1968-11-01,Binh Dinh,35
1968-11-01,Quang Tri,63
1968-11-01,Binh Duong,81
1968-11-01,Tay Ninh,121
1968-11-01,Quang Nam,194
1968-11-01,Other provinces,254
1968-12-01,Kon Tum,4
1968-12-01,Thua Thien - Hue,19
1968-12-01,Binh Dinh,28
1968-12-01,Quang Ngai,30
1968-12-01,Quang Tri,62
1968-12-01,Binh Duong,67
1968-12-01,Tay Ninh,77
1968-12-01,Quang Nam,238
1968-12-01,Other provinces,351
1969-01-01,Kon Tum,16
1969-01-01,Binh Dinh,23
1969-01-01,Quang Tri,31
1969-01-01,Thua Thien - Hue,44
1969-01-01,Binh Duong,71
1969-01-01,Tay Ninh,81
1969-01-01,Quang Ngai,99
1969-01-01,Quang Nam,169
1969-01-01,Other provinces,360
1969-02-01,Kon Tum,20
1969-02-01,Binh Dinh,21
1969-02-01,Thua Thien - Hue,36
1969-02-01,Quang Ngai,57
1969-02-01,Tay Ninh,87
1969-02-01,Binh Duong,118
