BusStopCode,RATIO,TOTAL,Description,Latitude,Longitude
24351,3420.779220779221,2711,Opp S'pore Takada Ind,1.29811763317717,103.6683905248493
98319,3391.0165484633567,14767,Aft Ballota Pk,1.3592369444173,103.96845690524152
24269,3350.7042253521126,7350,Sing Huat Hardware,1.31796007151086,103.67660828077693
18249,3287.2727272727275,3726,Aft The Pasteur,1.29072399998624,103.78712700002762
24549,3276.258992805755,9386,Keppel Shipyard,1.30273638896787,103.65543583300811
49171,3247.1698113207544,5322,OPP SHINGDA CONSTRN,1.43471927034855,103.75086631663139
23441,3244.8,4181,Aft Benoi Pl,1.31304186906391,103.67862695881058
23341,3169.148936170213,3073,Aft Pioneer Rd,1.31118496429579,103.67850804808974
28301,3160.855263157895,39652,Blk 131,1.33473899929823,103.74030301599491
22041,3145.2830188679245,1720,Aft Tg Kling Rd,1.31463499997457,103.69873083298778
21311,3125.287356321839,2806,Bef Tractor Rd,1.32320514106483,103.70956380845345
25359,3084.6153846153848,1656,Opp Hart Engrg Pte Ltd,1.32365000001897,103.6529238890272
95099,3037.121212121212,12423,Opp SAF Ferry Ter,1.38815449129359,103.99878608257899
50251,2873.9024390243903,36579,Farrer Pk Stn Exit A,1.31240499998142,103.85486499997727
23361,2867.105263157895,2255,Opp Keppel Logistics,1.31910770453777,103.6788383227952
54591,2834.5864661654136,3903,Opp Blk 5060,1.37530666700034,103.8617738890253
96319,2824.0,5117,Yusen Logistics,1.33311988623192,103.96095897791456
17239,2823.401877514528,130793,NTUC Fairprice,1.312440556,103.7658489
71049,2768.724279835391,6971,Air Force Museum,1.34609209274348,103.89881549663342
22431,2734.297520661157,6859,Opp Four Leaves,1.33308242562379,103.70742208599415
25161,2725.4901960784314,4323,Toyochem Ink,1.32735422944929,103.65510623174903
13211,2700.0,28,Aft Unity St,1.29241699362559,103.841095990069
55341,2671.830985915493,1968,Opp Thomson Gr,1.38498581592741,103.83669949504181
77099,2639.74358974359,2137,Bef Pasir Ris Ave,1.38042138903141,103.94637916697367
24029,2603.2558139534885,5812,Mazak S'pore,1.3224709639188,103.67132658072524
33029,2527.027027027027,972,Aft Neo Tiew Rd,1.42080314827393,103.70292186217569
