PATH,TOTAL_TRIPS,BusStopCode
59009/59651,17560,59009
11161/11009,17512,11161
11149/11529,17507,11149
52009/52539,17501,52009
47561/47591,17499,47561
67369/67009,17484,67369
76219/75009,17484,76219
44189/44009,17481,44189
21249/22009,17472,21249
17179/17159,17464,17179
28509/28009,17456,28509
59231/59689,17419,59231
76391/75009,17418,76391
45319/44009,17409,45319
84401/84009,17408,84401
84009/84559,17402,84009
54261/66101,17351,54261
27531/22529,17348,27531
64241/64541,17347,64241
28079/28009,17345,28079
83321/83361,17304,83321
84009/84549,17290,84009
54011/54009,17283,54011
84409/84009,17267,84409
52009/60261,17258,52009
10169/13121,17218,10169
22009/27469,17203,22009
46771/47611,17180,46771
21651/28091,17169,21651
65191/59041,17154,65191
45009/44611,17133,45009
58129/58211,17129,58129
52059/52009,17123,52059
19071/11361,17108,19071
65009/65371,17045,65009
54009/54169,17045,54009
65229/65009,17040,65229
44499/44009,17027,44499
67239/67009,17001,67239
46681/46009,16977,46681
52009/52079,16964,52009
28009/21011,16943,28009
17171/12201,16933,17171
28531/22009,16914,28531
11169/10139,16841,11169
83062/84021,16836,83062
22009/27321,16793,22009
52009/52271,16765,52009
76271/75009,16764,76271
64009/64401,16762,64009
43571/43491,16758,43571
10169/10071,16742,10169
59461/59671,16740,59461
22009/21241,16707,22009
11009/11169,16670,11009
76051/75009,16598,76051
66351/66371,16591,66351
43009/43359,16571,43009
44551/44031,16534,44551
44539/44289,16527,44539
59049/75009,16486,59049
47551/47591,16473,47551
54231/54261,16472,54231
46009/47611,16434,46009
81089/80069,16428,81089
17009/17279,16395,17009
67179/67009,16389,67179
28469/28009,16387,28469
65009/65531,16358,65009
53009/53361,16324,53009
44569/44009,16284,44569
46979/46639,16271,46979
67409/67371,16252,67409
77009/78181,16234,77009
84239/84009,16225,84239
10161/14389,16148,10161
22449/22009,16132,22449
54221/54009,16112,54221
47671/46779,16107,47671
24009/26269,16099,24009
44031/44871,16086,44031
22009/21609,16082,22009
77279/77009,16078,77279
46469/46009,16076,46469
75009/76269,16058,75009
67409/67559,16015,67409
77289/77039,16014,77289
28541/28009,15997,28541
22009/30021,15987,22009
11369/19089,15942,11369
28091/21451,15922,28091
65549/65009,15919,65549
44009/48131,15914,44009
84009/84401,15876,84009
82091/81129,15867,82091
75111/75009,15864,75111
66009/70059,15864,66009
11439/11169,15813,11439
17239/17061,15799,17239
84249/84009,15788,84249
59073/59289,15784,59073
84009/84119,15777,84009
63341/63039,15776,63341
17171/42311,15775,17171
60089/52009,15774,60089
84031/85091,15772,84031
43449/43419,15752,43449
21591/22009,15748,21591
64471/64549,15742,64471
28009/20201,15731,28009
14141/14041,15714,14141
46009/46689,15713,46009
59281/59671,15709,59281
44699/45009,15697,44699
14119/14379,15693,14119
54329/53231,15692,54329
58259/58361,15691,58259
59529/59073,15661,59529
58151/58169,15609,58151
28439/28009,15588,28439
84069/84039,15578,84069
45009/44651,15567,45009
54261/66341,15556,54261
45461/44031,15548,45461
67601/67629,15532,67601
46941/46779,15527,46941
58269/59073,15494,58269
84309/84009,15477,84309
44009/44189,15427,44009
43351/43009,15425,43351
67609/67619,15418,67609
64009/62251,15416,64009
54009/66331,15415,54009
52149/52009,15413,52149
66349/54269,15406,66349
46009/75359,15400,46009
95029/65191,15384,95029
54009/48131,15331,54009
28009/28081,15321,28009
17171/20021,15302,17171
84009/84221,15297,84009
22009/27331,15295,22009
78169/77009,15287,78169
76261/75009,15281,76261
59139/59239,15273,59139
12209/17179,15264,12209
10201/11529,15247,10201
46009/46969,15219,46009
78159/77009,15216,78159
83101/72011,15203,83101
59059/59049,15167,59059
17239/17159,15163,17239
84209/84009,15144,84209
54199/54261,15141,54199
44669/45009,15100,44669
27159/22529,15076,27159
11189/11169,15059,11189
46479/46009,15055,46479
60139/60119,15051,60139
54319/53231,15045,54319
19011/17171,15025,19011
67009/67361,14983,67009
52009/52059,14975,52009
21421/28099,14969,21421
46529/47041,14951,46529
43009/43421,14950,43009
17009/17049,14922,17009
46809/46779,14920,46809
83361/83329,14903,83361
17229/17009,14901,17229
60269/60179,14890,60269
59091/59249,14877,59091
76249/75009,14864,76249
65379/65009,14860,65379
17009/17071,14839,17009
52009/52309,14813,52009
43009/43319,14810,43009
65031/67009,14779,65031
46999/46009,14768,46999
59269/59073,14744,59269
46771/46841,14739,46771
12101/42059,14734,12101
44871/44009,14719,44871
76421/75009,14717,76421
28009/29039,14697,28009
46119/46521,14687,46119
84031/84661,14668,84031
75351/65191,14620,75351
27131/22529,14611,27131
17219/17009,14601,17219
17171/28679,14582,17171
55509/55159,14579,55509
76129/75009,14578,76129
26261/25429,14566,26261
22009/22411,14549,22009
17041/17009,14547,17041
21689/28099,14500,21689
59119/59009,14494,59119
22009/27101,14473,22009
43361/43009,14467,43361
77009/77221,14454,77009
44869/45009,14445,44869
67601/64461,14438,67601
77009/77271,14437,77009
59421/59571,14415,59421
67551/67401,14396,67551
77219/77009,14388,77219
44291/44531,14376,44291
66271/66359,14351,66271
40011/50021,14350,40011
27109/22009,14326,27109
53009/53331,14323,53009
59073/59299,14310,59073
54009/54411,14296,54009
28009/28681,14283,28009
46009/47551,14276,46009
59049/65199,14251,59049
11149/10299,14224,11149
59171/59072,14223,59171
45299/44531,14197,45299
84241/84039,14189,84241
59009/59419,14188,59009
44009/44299,14169,44009
23189/23499,14162,23189
45309/44031,14160,45309
28091/21619,14152,28091
98019/76039,14148,98019
59551/59079,14146,59551
67009/65029,14124,67009
28671/42159,14114,28671
43009/43509,14112,43009
65009/65199,14089,65009
10169/14269,14088,10169
28091/21569,14085,28091
67409/67699,14076,67409
44591/44031,14062,44591
75009/75271,14027,75009
58509/58211,14017,58509
48131/44009,14009,48131
54189/54261,14005,54189
65009/65541,14005,65009
28009/29019,14000,28009
20299/17171,13992,20299
44009/45451,13985,44009
46009/47561,13983,46009
85091/85061,13982,85091
47599/47569,13963,47599
75289/75009,13958,75289
58219/58411,13953,58219
84231/85091,13950,84231
46088/46009,13939,46088
75009/75079,13922,75009
53349/53009,13911,53349
46008/46361,13897,46008
64409/64009,13889,64409
65009/76059,13878,65009
14141/14241,13878,14141
20219/28009,13877,20219
10189/10169,13872,10189
43009/43369,13855,43009
52301/52009,13846,52301
46191/46009,13839,46191
14141/14279,13822,14141
27211/22009,13815,27211
52009/50201,13808,52009
84011/84009,13788,84011
11361/12121,13784,11361
46621/46009,13761,46621
85021/85099,13753,85021
53239/53371,13745,53239
84009/72069,13733,84009
67601/64571,13706,67601
65209/65009,13677,65209
66331/66301,13677,66331
43339/43009,13675,43339
40181/40121,13668,40181
45311/45321,13663,45311
63011/63031,13652,63011
21641/28091,13646,21641
76199/46009,13646,76199
66271/66009,13644,66271
46009/46711,13626,46009
22019/22009,13619,22019
64009/66579,13597,64009
50189/50038,13588,50189
84209/84351,13578,84209
75051/76071,13569,75051
64009/64479,13550,64009
