,BusStopCode,RoadName,Description,Latitude,Longitude
2653,59021,Lentor Ave,Bef Yishun Ave 1,1.40922833847299,103.82908330455543
2654,59029,Lentor Ave,Aft Yishun Ave 1,1.40885843406387,103.82924769115782
2655,59031,Yishun Ave 2,Opp Yishun Sports Hall,1.41277747172151,103.83083958669692
2656,59039,Yishun Ave 2,Yishun Sports Hall,1.41342871609658,103.83156300557019
2657,59041,Yishun Ave 2,Bef Khatib Stn,1.41625420109094,103.832591612732
2658,59049,Yishun Ave 2,Opp Khatib Stn,1.41700998157675,103.83339984073773
2659,59051,Yishun Ave 2,Blk 790,1.41968270185637,103.83429674432547
2660,59059,Yishun Ave 2,Blk 608,1.42054602879781,103.83497942324875
2661,59061,Yishun Ave 2,Blk 763,1.42556399229911,103.83495820649408
2662,59069,Yishun Ave 2,Opp Blk 757,1.42657294826877,103.83536957259517
2663,59072,Yishun Ave 2,Yishun Stn Exit E,1.429383056,103.8354931
2664,59073,Yishun Ave 2,Opp Yishun Stn,1.42868146490253,103.83546942999693
2665,59079,Yishun Ave 2,Yishun Stn,1.42926606883551,103.83516195358482
2666,59081,Yishun Ring Rd,Blk 774,1.42371474872973,103.83164666791833
2667,59089,Yishun Ring Rd,Opp Blk 774,1.42397861098025,103.83155749997911
2668,59091,Yishun Ave 2,Blk 154,1.43165245434506,103.83510814544051
2669,59099,Yishun Ave 2,Blk 220,1.43272835490407,103.83522544787667
2670,59101,Yishun Ring Rd,Yishun Pr Sch,1.43420210733558,103.83302746443204
2671,59109,Yishun Ring Rd,Opp Yishun Pr Sch,1.4343984933093,103.83322945585378
2672,59111,Yishun Ave 5,Blk 701,1.43016395103424,103.82888452126694
2673,59119,Yishun Ave 5,Opp Blk 701A,1.43037444021889,103.82794865433573
2674,59121,Yishun Ring Rd,Blk 121,1.43453851053761,103.82999668990018
2675,59129,Yishun Ring Rd,Opp Blk 121,1.43490004260739,103.830267560125
2676,59131,Yishun Ring Rd,Blk 137,1.43192545956112,103.82969184791156
2677,59139,Yishun Ring Rd,Aft Chong Pang CC,1.43140749331253,103.82955664267413
2678,59141,Yishun Ave 5,Blk 741,1.43034383196416,103.83275541050214
2679,59149,Yishun Ave 5,Blk 145,1.43061861098729,103.83218000002928
2680,59159,Yishun Ave 5,Blk 151,1.43055466220788,103.8346706884974
2681,59161,Yishun Ctrl,Opp Blk 201,1.43014843981169,103.83793159453417
2682,59171,Yishun Ave 9,Blk 309,1.43226509746155,103.84019665786346
2683,59179,Yishun Ave 9,Blk 241,1.43221439515231,103.83988331688866
2684,59181,Yishun Ave 9,Opp Blk 245,1.43416611096992,103.84218833299445
