PATH,TOTAL_TRIPS,ORIGIN_PT_CODE,DESTINATION_PT_CODE
59009/59409,21598,59009,59409
28009/28339,21555,28339,28009
75009/76279,21546,75009,76279
75009/98301,21543,75009,98301
52009/52151,21543,52009,52151
59449/59561,21499,59561,59449
10169/10371,21484,10371,10169
84031/84239,21479,84031,84239
62229/66359,21449,66359,62229
59009/59409,21428,59409,59009
46771/46831,21385,46771,46831
59041/75009,21348,75009,59041
54009/54329,21339,54009,54329
46008/46429,21336,46429,46008
59419/59569,21326,59419,59569
58251/58361,21323,58361,58251
52009/52081,21308,52009,52081
81089/81099,21256,81099,81089
46129/46521,21225,46129,46521
10129/10161,21189,10129,10161
75009/75121,21173,75121,75009
52179/52429,21171,52429,52179
21599/22009,21154,22009,21599
44269/46009,21142,46009,44269
22009/27301,21063,22009,27301
54261/54571,21047,54261,54571
59073/59341,20917,59073,59341
64119/66359,20906,64119,66359
22529/27329,20887,27329,22529
30039/45009,20805,45009,30039
46009/76191,20803,46009,76191
10169/14381,20757,14381,10169
67009/67171,20753,67009,67171
22529/27211,20742,27211,22529
59441/59569,20735,59441,59569
75009/98309,20701,98309,75009
43009/43499,20689,43009,43499
44661/45009,20672,45009,44661
28009/28689,20668,28689,28009
54261/54389,20649,54261,54389
63309/66359,20646,66359,63309
70019/81089,20603,70019,81089
46529/46539,20584,46539,46529
46009/65061,20569,65061,46009
44009/44571,20558,44009,44571
82009/82221,20524,82221,82009
65009/65261,20443,65009,65261
46761/46771,20428,46761,46771
59009/59451,20402,59009,59451
65049/67009,20393,67009,65049
84201/84521,20391,84521,84201
54009/54321,20370,54321,54009
48131/54009,20368,48131,54009
17179/28671,20312,28671,17179
54009/54381,20259,54381,54009
59009/59211,20257,59009,59211
50038/50089,20247,50038,50089
22009/22529,20245,22529,22009
46009/46531,20232,46531,46009
84009/84361,20224,84361,84009
46009/46421,20220,46009,46421
59009/59601,20219,59009,59601
54489/55509,20208,54489,55509
80069/80101,20081,80069,80101
12091/17179,20053,17179,12091
17171/17371,20050,17171,17371
46009/46471,20044,46009,46471
46009/46279,20016,46279,46009
25691/25771,20002,25691,25771
44801/45009,19984,45009,44801
63361/66351,19972,66351,63361
64491/66009,19962,66009,64491
54481/55509,19938,55509,54481
77009/78079,19932,78079,77009
65009/65281,19932,65009,65281
22009/22441,19895,22009,22441
58211/58529,19882,58529,58211
67601/67611,19858,67611,67601
77009/77071,19851,77071,77009
58251/58341,19847,58341,58251
77009/77211,19828,77009,77211
22009/27199,19790,27199,22009
46009/46549,19773,46009,46549
17009/17221,19697,17009,17221
47619/59079,19664,59079,47619
22009/27341,19625,22009,27341
10169/14031,19594,14031,10169
22009/27211,19590,22009,27211
59569/59639,19569,59639,59569
59009/59601,19562,59601,59009
52009/52451,19467,52009,52451
45131/46069,19451,45131,46069
44009/44579,19442,44579,44009
46289/46779,19434,46779,46289
43009/43331,19386,43009,43331
75009/76189,19378,76189,75009
96169/96291,19366,96169,96291
43579/43841,19364,43841,43579
52009/52269,19355,52269,52009
85091/96219,19355,85091,96219
44399/44539,19348,44539,44399
67119/67409,19344,67119,67409
53231/53241,19344,53241,53231
22009/27531,19314,22009,27531
54009/54229,19309,54009,54229
80089/81089,19281,81089,80089
46009/46241,19281,46241,46009
61031/70051,19270,70051,61031
50019/50038,19269,50038,50019
58211/58409,19233,58409,58211
44809/45009,19223,44809,45009
46009/46691,19192,46009,46691
82009/82049,19178,82009,82049
30031/44539,19151,30031,44539
65191/95129,19143,95129,65191
43009/43619,19106,43009,43619
44261/46521,19088,44261,46521
75009/75201,19042,75009,75201
59079/59251,19013,59079,59251
77009/77291,19000,77291,77009
65199/75359,18999,65199,75359
59009/59381,18999,59381,59009
28091/28521,18991,28521,28091
28009/28459,18974,28459,28009
75009/76511,18923,76511,75009
28009/28461,18922,28009,28461
63031/63349,18901,63031,63349
84209/84529,18874,84209,84529
77031/77051,18771,77051,77031
65009/65191,18750,65191,65009
11141/11521,18728,11521,11141
64101/66351,18715,66351,64101
43009/43179,18697,43009,43179
54009/66339,18680,66339,54009
46009/46671,18665,46009,46671
58521/59072,18661,58521,59072
84009/84551,18660,84551,84009
46521/47039,18623,47039,46521
22009/22351,18620,22009,22351
75009/76181,18539,75009,76181
59421/59711,18537,59421,59711
17179/20109,18526,20109,17179
64009/64049,18486,64049,64009
46008/46629,18475,46008,46629
21561/28091,18472,21561,28091
46009/47511,18462,46009,47511
22009/22011,18458,22009,22011
52009/52361,18443,52361,52009
58261/59079,18427,59079,58261
59009/59359,18427,59009,59359
52009/52159,18414,52159,52009
46009/46539,18405,46009,46539
75009/75149,18375,75009,75149
66009/66309,18341,66009,66309
43009/43171,18296,43171,43009
46009/46989,18282,46989,46009
66359/66421,18270,66359,66421
59009/59241,18258,59009,59241
43491/43579,18250,43491,43579
54009/54199,18241,54199,54009
63211/66351,18218,66351,63211
44009/44281,18218,44281,44009
59079/59261,18193,59079,59261
44531/45301,18167,45301,44531
59009/59591,18161,59591,59009
53009/54371,18145,53009,54371
12101/17179,18134,17179,12101
46009/46529,18108,46009,46529
22009/28539,18107,22009,28539
54261/54379,18106,54261,54379
46009/46461,18102,46009,46461
28009/28541,18075,28009,28541
21459/28099,18052,21459,28099
46529/46549,18042,46549,46529
60121/80101,18019,80101,60121
55139/55509,18018,55509,55139
28401/28511,17973,28511,28401
42319/43009,17935,43009,42319
84031/84579,17933,84579,84031
52009/52321,17916,52321,52009
64009/64329,17888,64009,64329
10169/10341,17833,10341,10169
46069/46511,17825,46069,46511
22009/22521,17784,22009,22521
75009/75279,17774,75279,75009
59409/59569,17770,59409,59569
62251/64009,17764,62251,64009
22009/22251,17732,22009,22251
46679/46779,17714,46779,46679
19039/19071,17705,19039,19071
67399/67409,17662,67409,67399
81119/81219,17639,81119,81219
44031/44879,17639,44879,44031
22009/27411,17636,27411,22009
53231/54019,17632,54019,53231
46521/47049,17602,47049,46521
50038/50059,17572,50059,50038
17009/17269,17568,17009,17269
59009/59651,17560,59009,59651
11009/11161,17512,11161,11009
11149/11529,17507,11149,11529
52009/52539,17501,52009,52539
