node_id,name,jurisdiction,jurisdiction_description,country_codes,countries,incorporation_date,inactivation_date,struck_off_date,closed_date,ibcRUC,status,company_type,service_provider,sourceID,valid_until,note
82007888,Maritime Capital Shipping Limited,BM,Bermuda,BMU;HKG,Bermuda;Hong Kong,30-APR-2007,,,,EC 39980,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82007879,IMC INDUSTRIAL LIMITED,BM,Bermuda,BMU;HKG;SGP,Bermuda;Hong Kong;Singapore,27-APR-2007,,,,EC 39970,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82007857,Cosan Limited,BM,Bermuda,BMU;BRA,Bermuda;Brazil,30-APR-2007,,,14-AUG-2009,EC 39981,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82007907,IMC PLANTATIONS HOLDINGS LTD.,BM,Bermuda,BMU;SGP,Bermuda;Singapore,16-MAY-2007,,,,EC 40042,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82007958,WASCO ENERGY LTD,BM,Bermuda,BMU,Bermuda,28-NOV-2006,,,,EC 39265,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82007978,SIF (Bermuda) Investments No 1 Limited,BM,Bermuda,AUS;BMU,Australia;Bermuda,21-JUN-2007,,,14-JUL-2010,40272,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82007979,SIF (Bermuda) Investments No 2 Limited,BM,Bermuda,AUS;BMU,Australia;Bermuda,21-JUN-2007,,,14-JUL-2010,40273,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82007686,Changtian Plastic & Chemical Limited,BM,Bermuda,BMU;CHN;HKG,Bermuda;China;Hong Kong,29-MAR-2007,,,,EC 39836,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82007690,IMC GROUP HOLDINGS LIMITED,BM,Bermuda,BMU;HKG;SGP,Bermuda;Hong Kong;Singapore,02-APR-2007,,,,EC 39842,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82007734,Indonesian Investment Fund Limited,BM,Bermuda,BMU,Bermuda,18-APR-2001,,,,30401,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82007586,Pan Orient Energy (Siam) Ltd.,BM,Bermuda,BMU;THA,Bermuda;Thailand,30-JAN-2007,,,,EC 39530,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82007635,Cronos Ltd.,BM,Bermuda,BMU,Bermuda,27-FEB-2007,,,,EC 39651,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82007641,American Overseas Reinsurance Company Limited,BM,Bermuda,BMU,Bermuda,28-JAN-1998,,,07-JAN-2013,EC24455,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82007493,"ADEC Solutions, Ltd.",BM,Bermuda,BMU;PHL,Bermuda;Philippines,22-NOV-2006,,,,EC 39219,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82007480,Global Enterprise Limited,BM,Bermuda,BMU,Bermuda,26-JAN-2007,,,16-AUG-2010,39510,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82007463,Foreland Fabrictech Holdings Limited,BM,Bermuda,BMU;SGP,Bermuda;Singapore,09-NOV-2006,,,,EC39151,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82007434,Brazilian Deepwater Floating Terminals Ltd.,BM,Bermuda,BMU,Bermuda,01-NOV-2006,,,,EC39138,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82007435,Brazilian Deepwater Production Ltd.,BM,Bermuda,BMU,Bermuda,01-NOV-2006,,,,EC39139,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82007436,Brazilian Deepwater Production Contractors Ltd.,BM,Bermuda,BMU,Bermuda,01-NOV-2006,,,,EC39137,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82007398,BLUESKY AIR LIMITED,BM,Bermuda,BMU,Bermuda,19-OCT-2006,,,,EC38975,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
