id,driverRef,season,roundId,raceName,lap,time,position
4595,raikkonen,2017,2,Chinese Grand Prix,24,99.311,5
4596,sainz,2017,2,Chinese Grand Prix,24,99.851,6
4597,alonso,2017,2,Chinese Grand Prix,24,99.896,7
4598,bottas,2017,2,Chinese Grand Prix,24,98.845,8
4599,kevin_magnussen,2017,2,Chinese Grand Prix,24,99.519,9
4600,perez,2017,2,Chinese Grand Prix,24,98.609,10
4601,ocon,2017,2,Chinese Grand Prix,24,99.671,11
4602,hulkenberg,2017,2,Chinese Grand Prix,24,99.947,12
4603,massa,2017,2,Chinese Grand Prix,24,104.51,13
4604,jolyon_palmer,2017,2,Chinese Grand Prix,24,100.493,14
4605,grosjean,2017,2,Chinese Grand Prix,24,100.551,15
4606,ericsson,2017,2,Chinese Grand Prix,24,100.445,16
4607,hamilton,2017,2,Chinese Grand Prix,25,97.879,1
4608,max_verstappen,2017,2,Chinese Grand Prix,25,98.624,2
4609,vettel,2017,2,Chinese Grand Prix,25,98.098,3
4610,ricciardo,2017,2,Chinese Grand Prix,25,98.888,4
4611,raikkonen,2017,2,Chinese Grand Prix,25,98.581,5
4612,sainz,2017,2,Chinese Grand Prix,25,99.335,6
4613,bottas,2017,2,Chinese Grand Prix,25,99.108,7
4614,alonso,2017,2,Chinese Grand Prix,25,100.418,8
4615,kevin_magnussen,2017,2,Chinese Grand Prix,25,99.549,9
4616,perez,2017,2,Chinese Grand Prix,25,98.798,10
4617,ocon,2017,2,Chinese Grand Prix,25,99.385,11
4618,hulkenberg,2017,2,Chinese Grand Prix,25,99.694,12
4619,jolyon_palmer,2017,2,Chinese Grand Prix,25,100.711,13
4620,grosjean,2017,2,Chinese Grand Prix,25,100.834,14
4621,massa,2017,2,Chinese Grand Prix,25,119.471,15
4622,ericsson,2017,2,Chinese Grand Prix,25,101.153,16
4623,hamilton,2017,2,Chinese Grand Prix,26,98.098,1
4624,max_verstappen,2017,2,Chinese Grand Prix,26,98.789,2
4625,vettel,2017,2,Chinese Grand Prix,26,98.108,3
4626,ricciardo,2017,2,Chinese Grand Prix,26,98.554,4
4627,raikkonen,2017,2,Chinese Grand Prix,26,99.29,5
4628,sainz,2017,2,Chinese Grand Prix,26,99.245,6
4629,bottas,2017,2,Chinese Grand Prix,26,98.252,7
4630,alonso,2017,2,Chinese Grand Prix,26,100.034,8
4631,kevin_magnussen,2017,2,Chinese Grand Prix,26,99.686,9
4632,perez,2017,2,Chinese Grand Prix,26,98.802,10
4633,ocon,2017,2,Chinese Grand Prix,26,99.634,11
4634,hulkenberg,2017,2,Chinese Grand Prix,26,99.759,12
4635,jolyon_palmer,2017,2,Chinese Grand Prix,26,100.932,13
4636,grosjean,2017,2,Chinese Grand Prix,26,100.791,14
4637,massa,2017,2,Chinese Grand Prix,26,98.287,15
4638,ericsson,2017,2,Chinese Grand Prix,26,100.427,16
4639,hamilton,2017,2,Chinese Grand Prix,27,98.093,1
4640,max_verstappen,2017,2,Chinese Grand Prix,27,98.801,2
