country,datetime,value,date
Cuba,2010-01-01,1,Jan 2010
Cuba,2011-01-01,1,Jan 2011
Cuba,2011-07-01,1,Jul 2011
Cuba,2012-01-01,1,Jan 2012
Cuba,2012-07-01,1,Jul 2012
Cuba,2013-01-01,1,Jan 2013
Cuba,2014-01-01,1,Jan 2014
Cuba,2015-01-01,1,Jan 2015
Cuba,2016-01-01,1,Jan 2016
Cuba,2016-07-01,1,Jul 2016
Cuba,2017-01-01,1,Jan 2017
Cuba,2017-12-01,1,Dec 2017
Cuba,2018-06-01,1,Jun 2018
Cuba,2018-12-01,1,Dec 2018
Cuba,2019-06-01,1,Jun 2019
Denmark,1979-01-01,0,Jan 1979
Denmark,1984-01-01,0,Jan 1984
Denmark,1989-01-01,0,Jan 1989
Denmark,1990-01-01,0,Jan 1990
Denmark,1991-01-01,0,Jan 1991
Denmark,1992-01-01,0,Jan 1992
Denmark,1994-01-01,0,Jan 1994
Denmark,1995-01-01,0,Jan 1995
Denmark,1999-01-01,0,Jan 1999
Denmark,2000-01-01,0,Jan 2000
Denmark,2001-01-01,0,Jan 2001
Denmark,2002-01-01,0,Jan 2002
Denmark,2003-01-01,0,Jan 2003
Denmark,2004-01-01,1,Jan 2004
Denmark,2005-01-01,1,Jan 2005
Denmark,2006-01-01,1,Jan 2006
Denmark,2007-01-01,1,Jan 2007
Denmark,2008-01-01,1,Jan 2008
Denmark,2009-01-01,1,Jan 2009
Denmark,2010-01-01,1,Jan 2010
Denmark,2011-01-01,1,Jan 2011
Denmark,2011-07-01,1,Jul 2011
Denmark,2012-01-01,1,Jan 2012
Denmark,2012-07-01,1,Jul 2012
Denmark,2013-01-01,1,Jan 2013
Denmark,2014-01-01,1,Jan 2014
Denmark,2015-01-01,1,Jan 2015
Denmark,2016-01-01,1,Jan 2016
Denmark,2016-07-01,1,Jul 2016
Denmark,2017-01-01,1,Jan 2017
Denmark,2017-12-01,2,Dec 2017
Denmark,2018-06-01,3,Jun 2018
Denmark,2018-12-01,3,Dec 2018
Denmark,2019-06-01,3,Jun 2019
Dominican Republic,1979-01-01,0,Jan 1979
Dominican Republic,1984-01-01,0,Jan 1984
Dominican Republic,1989-01-01,0,Jan 1989
Dominican Republic,1990-01-01,0,Jan 1990
Dominican Republic,1991-01-01,0,Jan 1991
Dominican Republic,1992-01-01,0,Jan 1992
Dominican Republic,1994-01-01,0,Jan 1994
Dominican Republic,1995-01-01,0,Jan 1995
Dominican Republic,1999-01-01,0,Jan 1999
Dominican Republic,2000-01-01,0,Jan 2000
Dominican Republic,2001-01-01,0,Jan 2001
Dominican Republic,2002-01-01,0,Jan 2002
Dominican Republic,2003-01-01,0,Jan 2003
Dominican Republic,2004-01-01,0,Jan 2004
Dominican Republic,2005-01-01,0,Jan 2005
Dominican Republic,2006-01-01,0,Jan 2006
Dominican Republic,2007-01-01,0,Jan 2007
Dominican Republic,2008-01-01,0,Jan 2008
Dominican Republic,2009-01-01,0,Jan 2009
Dominican Republic,2010-01-01,0,Jan 2010
Dominican Republic,2011-01-01,0,Jan 2011
Dominican Republic,2011-07-01,0,Jul 2011
Dominican Republic,2012-01-01,0,Jan 2012
Dominican Republic,2012-07-01,0,Jul 2012
Dominican Republic,2013-01-01,0,Jan 2013
Dominican Republic,2014-01-01,0,Jan 2014
Dominican Republic,2015-01-01,0,Jan 2015
Dominican Republic,2016-01-01,0,Jan 2016
Dominican Republic,2016-07-01,0,Jul 2016
Dominican Republic,2017-01-01,0,Jan 2017
Dominican Republic,2017-12-01,0,Dec 2017
Dominican Republic,2018-06-01,1,Jun 2018
Dominican Republic,2018-12-01,1,Dec 2018
Dominican Republic,2019-06-01,1,Jun 2019
Ecuador,1979-01-01,0,Jan 1979
Ecuador,1984-01-01,0,Jan 1984
Ecuador,1989-01-01,0,Jan 1989
Ecuador,1990-01-01,0,Jan 1990
Ecuador,1991-01-01,0,Jan 1991
Ecuador,1992-01-01,0,Jan 1992
Ecuador,1994-01-01,0,Jan 1994
Ecuador,1995-01-01,0,Jan 1995
Ecuador,1999-01-01,0,Jan 1999
Ecuador,2000-01-01,0,Jan 2000
Ecuador,2001-01-01,0,Jan 2001
Ecuador,2002-01-01,0,Jan 2002
Ecuador,2003-01-01,0,Jan 2003
Ecuador,2004-01-01,0,Jan 2004
Ecuador,2005-01-01,0,Jan 2005
Ecuador,2006-01-01,0,Jan 2006
Ecuador,2007-01-01,0,Jan 2007
Ecuador,2008-01-01,0,Jan 2008
Ecuador,2009-01-01,0,Jan 2009
Ecuador,2010-01-01,0,Jan 2010
Ecuador,2011-01-01,0,Jan 2011
Ecuador,2011-07-01,0,Jul 2011
Ecuador,2012-01-01,0,Jan 2012
Ecuador,2012-07-01,0,Jul 2012
Ecuador,2013-01-01,0,Jan 2013
Ecuador,2014-01-01,1,Jan 2014
Ecuador,2015-01-01,1,Jan 2015
Ecuador,2016-01-01,1,Jan 2016
Ecuador,2016-07-01,1,Jul 2016
Ecuador,2017-01-01,1,Jan 2017
Ecuador,2017-12-01,1,Dec 2017
Ecuador,2018-06-01,1,Jun 2018
Ecuador,2018-12-01,1,Dec 2018
Ecuador,2019-06-01,1,Jun 2019
Egypt,1979-01-01,0,Jan 1979
Egypt,1984-01-01,0,Jan 1984
Egypt,1989-01-01,0,Jan 1989
Egypt,1990-01-01,0,Jan 1990
Egypt,1991-01-01,0,Jan 1991
Egypt,1992-01-01,0,Jan 1992
Egypt,1994-01-01,0,Jan 1994
Egypt,1995-01-01,0,Jan 1995
Egypt,1999-01-01,0,Jan 1999
Egypt,2000-01-01,0,Jan 2000
Egypt,2001-01-01,0,Jan 2001
Egypt,2002-01-01,0,Jan 2002
Egypt,2003-01-01,0,Jan 2003
Egypt,2004-01-01,0,Jan 2004
Egypt,2005-01-01,0,Jan 2005
Egypt,2006-01-01,0,Jan 2006
Egypt,2007-01-01,0,Jan 2007
Egypt,2008-01-01,0,Jan 2008
Egypt,2009-01-01,0,Jan 2009
Egypt,2010-01-01,0,Jan 2010
Egypt,2011-01-01,0,Jan 2011
Egypt,2011-07-01,0,Jul 2011
Egypt,2012-01-01,0,Jan 2012
Egypt,2012-07-01,0,Jul 2012
Egypt,2013-01-01,0,Jan 2013
Egypt,2014-01-01,0,Jan 2014
Egypt,2015-01-01,0,Jan 2015
Egypt,2016-01-01,0,Jan 2016
Egypt,2016-07-01,0,Jul 2016
Egypt,2017-01-01,1,Jan 2017
Egypt,2017-12-01,1,Dec 2017
Egypt,2018-06-01,1,Jun 2018
Egypt,2018-12-01,1,Dec 2018
Egypt,2019-06-01,1,Jun 2019
El Salvador,1979-01-01,0,Jan 1979
El Salvador,1984-01-01,0,Jan 1984
El Salvador,1989-01-01,0,Jan 1989
El Salvador,1990-01-01,0,Jan 1990
El Salvador,1991-01-01,0,Jan 1991
El Salvador,1992-01-01,0,Jan 1992
El Salvador,1994-01-01,0,Jan 1994
El Salvador,1995-01-01,0,Jan 1995
El Salvador,1999-01-01,0,Jan 1999
El Salvador,2000-01-01,0,Jan 2000
El Salvador,2001-01-01,0,Jan 2001
El Salvador,2002-01-01,0,Jan 2002
El Salvador,2003-01-01,0,Jan 2003
El Salvador,2004-01-01,0,Jan 2004
El Salvador,2005-01-01,0,Jan 2005
El Salvador,2006-01-01,0,Jan 2006
El Salvador,2007-01-01,0,Jan 2007
El Salvador,2008-01-01,0,Jan 2008
El Salvador,2009-01-01,0,Jan 2009
El Salvador,2010-01-01,0,Jan 2010
El Salvador,2011-01-01,0,Jan 2011
El Salvador,2011-07-01,0,Jul 2011
El Salvador,2012-01-01,0,Jan 2012
El Salvador,2012-07-01,0,Jul 2012
El Salvador,2013-01-01,0,Jan 2013
El Salvador,2014-01-01,0,Jan 2014
El Salvador,2015-01-01,0,Jan 2015
El Salvador,2016-01-01,1,Jan 2016
El Salvador,2016-07-01,1,Jul 2016
El Salvador,2017-01-01,1,Jan 2017
El Salvador,2017-12-01,1,Dec 2017
El Salvador,2018-06-01,1,Jun 2018
El Salvador,2018-12-01,1,Dec 2018
El Salvador,2019-06-01,1,Jun 2019
Estonia,1979-01-01,0,Jan 1979
Estonia,1984-01-01,0,Jan 1984
Estonia,1989-01-01,0,Jan 1989
Estonia,1990-01-01,0,Jan 1990
Estonia,1991-01-01,0,Jan 1991
Estonia,1992-01-01,0,Jan 1992
Estonia,1994-01-01,0,Jan 1994
Estonia,1995-01-01,0,Jan 1995
Estonia,1999-01-01,0,Jan 1999
Estonia,2000-01-01,0,Jan 2000
Estonia,2001-01-01,0,Jan 2001
Estonia,2002-01-01,0,Jan 2002
Estonia,2003-01-01,0,Jan 2003
Estonia,2004-01-01,0,Jan 2004
Estonia,2005-01-01,0,Jan 2005
Estonia,2006-01-01,0,Jan 2006
Estonia,2007-01-01,0,Jan 2007
